sim_time_min,queue_len,busy_servers,utilization_instant,arrivals_total,departures_total
60.0,0,1,0.333333,8,7
61.0,0,1,0.333333,8,7
62.0,0,1,0.333333,8,7
63.0,0,1,0.333333,8,7
64.0,0,1,0.333333,8,7
65.0,0,1,0.333333,8,7
66.0,0,2,0.666667,9,7
67.0,0,2,0.666667,9,7
68.0,0,2,0.666667,9,7
69.0,0,2,0.666667,9,7
70.0,0,2,0.666667,9,7
71.0,0,2,0.666667,9,7
72.0,0,2,0.666667,9,7
73.0,0,2,0.666667,9,7
74.0,0,2,0.666667,9,7
75.0,0,2,0.666667,9,7
76.0,0,2,0.666667,9,7
77.0,0,2,0.666667,9,7
78.0,0,2,0.666667,9,7
79.0,0,1,0.333333,9,8
80.0,0,1,0.333333,9,8
81.0,0,1,0.333333,9,8
82.0,0,1,0.333333,9,8
83.0,0,1,0.333333,9,8
84.0,0,3,1.0,11,8
85.0,0,3,1.0,11,8
86.0,0,2,0.666667,11,9
87.0,0,2,0.666667,11,9
88.0,0,2,0.666667,11,9
89.0,0,3,1.0,12,9
90.0,0,2,0.666667,12,10
91.0,0,1,0.333333,12,11
92.0,0,1,0.333333,12,11
93.0,0,1,0.333333,12,11
94.0,0,1,0.333333,12,11
95.0,0,1,0.333333,12,11
96.0,0,1,0.333333,12,11
97.0,0,1,0.333333,12,11
98.0,0,1,0.333333,12,11
99.0,0,1,0.333333,12,11
100.0,0,1,0.333333,12,11
101.0,0,1,0.333333,12,11
102.0,0,1,0.333333,12,11
103.0,0,1,0.333333,12,11
104.0,0,1,0.333333,12,11
105.0,0,1,0.333333,12,11
106.0,0,1,0.333333,12,11
107.0,0,1,0.333333,12,11
108.0,0,0,0.0,12,12
109.0,0,0,0.0,12,12
110.0,0,0,0.0,12,12
111.0,0,0,0.0,12,12
112.0,0,0,0.0,12,12
113.0,0,0,0.0,12,12
114.0,0,0,0.0,12,12
115.0,0,0,0.0,12,12
116.0,0,0,0.0,12,12
117.0,0,0,0.0,12,12
118.0,0,0,0.0,12,12
119.0,0,0,0.0,12,12
120.0,0,0,0.0,12,12
121.0,0,0,0.0,12,12
122.0,0,0,0.0,12,12
123.0,0,0,0.0,12,12
124.0,0,0,0.0,12,12
125.0,0,0,0.0,12,12
126.0,0,1,0.333333,13,12
127.0,0,1,0.333333,13,12
128.0,0,2,0.666667,14,12
129.0,0,1,0.333333,14,13
130.0,0,1,0.333333,14,13
131.0,0,1,0.333333,14,13
132.0,0,1,0.333333,14,13
133.0,0,1,0.333333,14,13
134.0,0,1,0.333333,14,13
135.0,0,1,0.333333,14,13
136.0,0,1,0.333333,14,13
137.0,0,1,0.333333,14,13
138.0,0,2,0.666667,15,13
139.0,0,2,0.666667,15,13
140.0,0,2,0.666667,15,13
141.0,0,3,1.0,16,13
142.0,0,3,1.0,16,13
143.0,0,3,1.0,16,13
144.0,0,3,1.0,16,13
145.0,0,2,0.666667,16,14
146.0,0,3,1.0,17,14
147.0,0,3,1.0,17,14
148.0,0,2,0.666667,17,15
149.0,0,2,0.666667,17,15
150.0,0,2,0.666667,17,15
151.0,0,2,0.666667,17,15
152.0,0,2,0.666667,17,15
153.0,0,2,0.666667,17,15
154.0,0,2,0.666667,17,15
155.0,0,2,0.666667,18,16
156.0,0,2,0.666667,18,16
157.0,0,2,0.666667,18,16
158.0,0,2,0.666667,18,16
159.0,0,2,0.666667,18,16
160.0,0,1,0.333333,18,17
161.0,0,1,0.333333,18,17
162.0,0,2,0.666667,19,17
163.0,0,2,0.666667,19,17
164.0,0,2,0.666667,19,17
165.0,0,2,0.666667,19,17
166.0,0,3,1.0,20,17
167.0,0,3,1.0,20,17
168.0,0,3,1.0,20,17
169.0,1,3,1.0,21,17
170.0,1,3,1.0,21,17
171.0,1,3,1.0,21,17
172.0,1,3,1.0,21,17
173.0,2,3,1.0,22,17
174.0,2,3,1.0,22,17
175.0,1,3,1.0,23,19
