sim_time_min,event_type,patient_id,server_id,queue_len_after_event,busy_servers_after_event
7.409319,ARRIVAL,1,-1,0,1
10.181792,DEPARTURE,1,0,0,0
14.140018,ARRIVAL,2,-1,0,1
20.775168,ARRIVAL,3,-1,0,2
21.111421,DEPARTURE,3,1,0,1
30.708196,ARRIVAL,4,-1,0,2
33.347176,ARRIVAL,5,-1,0,3
36.31459,DEPARTURE,2,0,0,2
37.639718,DEPARTURE,4,1,0,1
41.301507,ARRIVAL,6,-1,0,2
47.89918,DEPARTURE,6,0,0,1
50.439774,ARRIVAL,7,-1,0,2
50.958934,DEPARTURE,5,2,0,1
58.578241,DEPARTURE,7,0,0,0
63.609545,ARRIVAL,8,-1,0,1
64.230253,ARRIVAL,9,-1,0,2
66.459925,ARRIVAL,10,-1,0,3
66.629681,DEPARTURE,9,1,0,2
69.076832,DEPARTURE,8,0,0,1
72.766533,ARRIVAL,11,-1,0,2
76.021591,ARRIVAL,12,-1,0,3
76.959394,DEPARTURE,10,2,0,2
77.600002,DEPARTURE,12,1,0,1
80.416089,ARRIVAL,13,-1,0,2
81.795035,ARRIVAL,14,-1,0,3
82.88908,DEPARTURE,11,0,0,2
93.811681,ARRIVAL,15,-1,0,3
96.430813,DEPARTURE,15,0,0,2
98.070738,ARRIVAL,16,-1,0,3
106.929083,DEPARTURE,14,2,0,2
116.535598,DEPARTURE,16,0,0,1
116.575177,DEPARTURE,13,1,0,0
120.47625,ARRIVAL,17,-1,0,1
124.88902,ARRIVAL,18,-1,0,2
130.328939,DEPARTURE,17,0,0,1
133.605296,DEPARTURE,18,1,0,0
149.743297,ARRIVAL,19,-1,0,1
150.065461,ARRIVAL,20,-1,0,2
150.434359,DEPARTURE,19,0,0,1
154.16449,ARRIVAL,21,-1,0,2
155.359221,DEPARTURE,21,0,0,1
158.038999,ARRIVAL,22,-1,0,2
158.219202,DEPARTURE,22,0,0,1
158.382051,ARRIVAL,23,-1,0,2
163.395581,DEPARTURE,20,1,0,1
165.520504,DEPARTURE,23,0,0,0
167.554713,ARRIVAL,24,-1,0,1
186.327703,DEPARTURE,24,0,0,0
187.565637,ARRIVAL,25,-1,0,1
189.414119,ARRIVAL,26,-1,0,2
195.458356,DEPARTURE,26,1,0,1
203.420876,ARRIVAL,27,-1,0,2
204.731667,DEPARTURE,25,0,0,1
204.825344,ARRIVAL,28,-1,0,2
205.63074,DEPARTURE,28,0,0,1
211.816466,DEPARTURE,27,1,0,0
219.149473,ARRIVAL,29,-1,0,1
229.31917,DEPARTURE,29,0,0,0
231.065555,ARRIVAL,30,-1,0,1
236.525356,ARRIVAL,31,-1,0,2
237.47729,ARRIVAL,32,-1,0,3
243.001499,DEPARTURE,30,0,0,2
250.006971,DEPARTURE,31,1,0,1
250.648708,ARRIVAL,33,-1,0,2
252.339539,ARRIVAL,34,-1,0,3
253.19175,ARRIVAL,35,-1,1,3
254.915684,DEPARTURE,33,0,0,3
257.048039,ARRIVAL,36,-1,1,3
259.0327,ARRIVAL,37,-1,2,3
259.845309,DEPARTURE,34,1,1,3
260.226593,DEPARTURE,32,2,0,3
262.391314,DEPARTURE,35,0,0,2
263.186459,ARRIVAL,38,-1,0,3
263.600083,ARRIVAL,39,-1,1,3
264.763359,ARRIVAL,40,-1,2,3
264.968895,DEPARTURE,37,2,1,3
275.351799,ARRIVAL,41,-1,2,3
282.380412,ARRIVAL,42,-1,3,3
286.136468,DEPARTURE,39,2,2,3
286.914545,DEPARTURE,36,1,1,3
288.602294,ARRIVAL,43,-1,2,3
292.129143,DEPARTURE,38,0,1,3
294.021649,ARRIVAL,44,-1,2,3
294.03521,DEPARTURE,40,2,1,3
295.391953,DEPARTURE,43,2,0,3
297.777395,ARRIVAL,45,-1,1,3
298.900677,DEPARTURE,41,1,0,3
300.834381,ARRIVAL,46,-1,1,3
301.590123,ARRIVAL,47,-1,2,3
302.723374,ARRIVAL,48,-1,3,3
303.613783,DEPARTURE,44,2,2,3
303.876343,ARRIVAL,49,-1,3,3
306.552283,DEPARTURE,45,1,2,3
307.964399,ARRIVAL,50,-1,3,3
313.646907,ARRIVAL,51,-1,4,3
316.9829,ARRIVAL,52,-1,5,3
317.494422,DEPARTURE,46,2,4,3
318.255164,DEPARTURE,42,0,3,3
320.938485,ARRIVAL,53,-1,4,3
321.169997,DEPARTURE,47,1,3,3
322.7149,DEPARTURE,48,2,2,3
323.561571,DEPARTURE,50,1,1,3
325.155542,ARRIVAL,54,-1,2,3
333.180552,ARRIVAL,55,-1,3,3
334.175125,DEPARTURE,52,1,2,3
334.743521,DEPARTURE,51,2,1,3
338.857018,DEPARTURE,49,0,0,3
347.568543,DEPARTURE,55,0,0,2
350.119173,ARRIVAL,56,-1,0,3
350.137658,ARRIVAL,57,-1,1,3
353.432541,DEPARTURE,53,1,0,3
355.557572,DEPARTURE,56,0,0,2
356.485233,DEPARTURE,54,2,0,1
359.910967,DEPARTURE,57,1,0,0
361.503631,ARRIVAL,58,-1,0,1
363.601464,ARRIVAL,59,-1,0,2
365.368368,DEPARTURE,58,0,0,1
374.178872,ARRIVAL,60,-1,0,2
374.948807,ARRIVAL,61,-1,0,3
376.14514,ARRIVAL,62,-1,1,3
376.984748,DEPARTURE,59,1,0,3
377.219589,ARRIVAL,63,-1,1,3
381.753509,ARRIVAL,64,-1,2,3
382.696095,DEPARTURE,62,1,1,3
390.006878,ARRIVAL,65,-1,2,3
390.63973,DEPARTURE,63,1,1,3
391.66213,ARRIVAL,66,-1,2,3
396.171618,DEPARTURE,61,2,1,3
397.049677,DEPARTURE,60,0,0,3
398.823591,ARRIVAL,67,-1,1,3
401.444752,DEPARTURE,65,2,0,3
402.81725,ARRIVAL,68,-1,1,3
410.012521,ARRIVAL,69,-1,2,3
410.866557,DEPARTURE,67,2,1,3
412.222803,ARRIVAL,70,-1,2,3
413.699374,ARRIVAL,71,-1,3,3
414.880487,DEPARTURE,64,1,2,3
415.67947,ARRIVAL,72,-1,3,3
419.915272,ARRIVAL,73,-1,4,3
420.70922,DEPARTURE,69,1,3,3
422.025172,DEPARTURE,70,1,2,3
423.364255,DEPARTURE,66,0,1,3
426.303183,ARRIVAL,74,-1,2,3
428.80575,DEPARTURE,72,0,1,3
429.80455,DEPARTURE,71,1,0,3
429.887673,DEPARTURE,68,2,0,2
431.887949,DEPARTURE,74,1,0,1
436.684272,ARRIVAL,75,-1,0,2
438.828667,ARRIVAL,76,-1,0,3
440.348714,DEPARTURE,76,2,0,2
441.206356,ARRIVAL,77,-1,0,3
442.38978,DEPARTURE,77,2,0,2
443.516987,ARRIVAL,78,-1,0,3
443.617154,ARRIVAL,79,-1,1,3
444.745616,DEPARTURE,73,0,0,3
446.159427,ARRIVAL,80,-1,1,3
446.424916,ARRIVAL,81,-1,2,3
448.403855,ARRIVAL,82,-1,3,3
449.244237,DEPARTURE,79,0,2,3
451.629423,DEPARTURE,78,2,1,3
452.904911,DEPARTURE,75,1,0,3
455.044304,ARRIVAL,83,-1,1,3
457.186492,DEPARTURE,80,0,0,3
457.22894,ARRIVAL,84,-1,1,3
458.193636,DEPARTURE,82,1,0,3
461.219155,DEPARTURE,84,1,0,2
467.881302,ARRIVAL,85,-1,0,3
469.527558,ARRIVAL,86,-1,1,3
470.746028,DEPARTURE,83,0,0,3
472.279003,ARRIVAL,87,-1,1,3
474.216257,DEPARTURE,85,1,0,3
476.147981,DEPARTURE,81,2,0,2
