sim_time_min,event_type,patient_id,server_id,queue_len_after_event,busy_servers_after_event
9.4177,ARRIVAL,1,-1,0,1
10.214784,ARRIVAL,2,-1,0,2
12.829587,DEPARTURE,1,0,0,1
21.533682,DEPARTURE,2,1,0,0
31.117317,ARRIVAL,3,-1,0,1
31.423487,ARRIVAL,4,-1,0,2
35.788241,DEPARTURE,3,0,0,1
44.980548,ARRIVAL,5,-1,0,2
47.280463,DEPARTURE,5,0,0,1
47.680014,DEPARTURE,4,1,0,0
48.437069,ARRIVAL,6,-1,0,1
49.129428,ARRIVAL,7,-1,0,2
65.500897,ARRIVAL,8,-1,0,3
66.040662,ARRIVAL,9,-1,1,3
67.588055,DEPARTURE,7,1,0,3
70.635053,DEPARTURE,8,2,0,2
70.921906,ARRIVAL,10,-1,0,3
71.053587,DEPARTURE,10,2,0,2
76.201862,ARRIVAL,11,-1,0,3
78.132793,ARRIVAL,12,-1,1,3
78.81397,DEPARTURE,11,2,0,3
78.84067,ARRIVAL,13,-1,1,3
83.228977,ARRIVAL,14,-1,2,3
83.373067,DEPARTURE,9,1,1,3
83.424109,DEPARTURE,12,2,0,3
88.357218,DEPARTURE,14,2,0,2
96.310157,DEPARTURE,13,1,0,1
102.141942,ARRIVAL,15,-1,0,2
103.346845,ARRIVAL,16,-1,0,3
105.62908,DEPARTURE,15,1,0,2
106.09078,ARRIVAL,17,-1,0,3
107.471349,DEPARTURE,16,2,0,2
108.935418,DEPARTURE,6,0,0,1
109.04808,DEPARTURE,17,1,0,0
109.948325,ARRIVAL,18,-1,0,1
116.119785,ARRIVAL,19,-1,0,2
116.785843,DEPARTURE,18,0,0,1
120.009302,ARRIVAL,20,-1,0,2
120.32033,DEPARTURE,19,1,0,1
127.718596,ARRIVAL,21,-1,0,2
131.189166,DEPARTURE,21,1,0,1
137.676171,ARRIVAL,22,-1,0,2
139.232845,ARRIVAL,23,-1,0,3
142.027671,DEPARTURE,20,0,0,2
155.453847,DEPARTURE,22,1,0,1
166.275769,ARRIVAL,24,-1,0,2
167.738967,ARRIVAL,25,-1,0,3
169.77008,ARRIVAL,26,-1,1,3
171.280213,ARRIVAL,27,-1,2,3
171.751076,DEPARTURE,24,0,1,3
180.134002,DEPARTURE,25,1,0,3
182.166013,ARRIVAL,28,-1,1,3
183.929803,DEPARTURE,23,2,0,3
188.753114,DEPARTURE,28,2,0,2
189.211292,DEPARTURE,26,0,0,1
189.440286,ARRIVAL,29,-1,0,2
197.315234,ARRIVAL,30,-1,0,3
197.531692,DEPARTURE,27,1,0,2
202.893716,ARRIVAL,31,-1,0,3
203.883857,DEPARTURE,31,1,0,2
204.562317,ARRIVAL,32,-1,0,3
205.227195,ARRIVAL,33,-1,1,3
206.465672,DEPARTURE,32,1,0,3
206.710787,DEPARTURE,33,1,0,2
214.882567,DEPARTURE,29,0,0,1
216.479334,ARRIVAL,34,-1,0,2
217.918147,ARRIVAL,35,-1,0,3
222.071309,DEPARTURE,35,1,0,2
223.582469,ARRIVAL,36,-1,0,3
225.092792,DEPARTURE,36,1,0,2
228.189564,DEPARTURE,30,2,0,1
235.057131,ARRIVAL,37,-1,0,2
235.74913,ARRIVAL,38,-1,0,3
236.114354,DEPARTURE,34,0,0,2
241.227499,DEPARTURE,37,1,0,1
241.556299,ARRIVAL,39,-1,0,2
242.10265,DEPARTURE,39,0,0,1
245.860746,DEPARTURE,38,2,0,0
246.119573,ARRIVAL,40,-1,0,1
252.72795,DEPARTURE,40,0,0,0
258.629511,ARRIVAL,41,-1,0,1
271.391038,ARRIVAL,42,-1,0,2
275.110503,DEPARTURE,41,0,0,1
277.85385,ARRIVAL,43,-1,0,2
278.638362,DEPARTURE,43,0,0,1
280.21542,DEPARTURE,42,1,0,0
285.820182,ARRIVAL,44,-1,0,1
288.139928,ARRIVAL,45,-1,0,2
298.173577,DEPARTURE,45,1,0,1
299.690858,ARRIVAL,46,-1,0,2
303.665232,DEPARTURE,46,1,0,1
312.232605,ARRIVAL,47,-1,0,2
312.25015,DEPARTURE,47,1,0,1
313.026901,DEPARTURE,44,0,0,0
314.059035,ARRIVAL,48,-1,0,1
318.309432,DEPARTURE,48,0,0,0
329.579662,ARRIVAL,49,-1,0,1
331.120288,ARRIVAL,50,-1,0,2
331.264692,DEPARTURE,49,0,0,1
334.049762,ARRIVAL,51,-1,0,2
335.594319,ARRIVAL,52,-1,0,3
343.533994,DEPARTURE,52,2,0,2
348.090546,DEPARTURE,50,1,0,1
350.915543,DEPARTURE,51,0,0,0
354.559658,ARRIVAL,53,-1,0,1
355.334946,DEPARTURE,53,0,0,0
355.950772,ARRIVAL,54,-1,0,1
356.153457,DEPARTURE,54,0,0,0
364.115871,ARRIVAL,55,-1,0,1
367.034616,ARRIVAL,56,-1,0,2
368.89215,ARRIVAL,57,-1,0,3
368.951186,DEPARTURE,57,2,0,2
376.596936,ARRIVAL,58,-1,0,3
378.97771,DEPARTURE,56,1,0,2
392.774596,DEPARTURE,58,2,0,1
393.097988,DEPARTURE,55,0,0,0
396.020463,ARRIVAL,59,-1,0,1
397.149638,DEPARTURE,59,0,0,0
402.689675,ARRIVAL,60,-1,0,1
405.57555,DEPARTURE,60,0,0,0
414.093624,ARRIVAL,61,-1,0,1
417.8164,ARRIVAL,62,-1,0,2
420.111866,ARRIVAL,63,-1,0,3
421.131888,DEPARTURE,63,2,0,2
423.512576,ARRIVAL,64,-1,0,3
428.153425,DEPARTURE,64,2,0,2
430.456903,ARRIVAL,65,-1,0,3
431.171732,DEPARTURE,61,0,0,2
433.529425,ARRIVAL,66,-1,0,3
433.612141,DEPARTURE,62,1,0,2
435.971171,DEPARTURE,65,2,0,1
436.330535,DEPARTURE,66,0,0,0
439.757355,ARRIVAL,67,-1,0,1
440.385193,DEPARTURE,67,0,0,0
442.161191,ARRIVAL,68,-1,0,1
443.455351,ARRIVAL,69,-1,0,2
446.319762,DEPARTURE,68,0,0,1
446.372772,ARRIVAL,70,-1,0,2
446.609159,DEPARTURE,69,1,0,1
449.824269,ARRIVAL,71,-1,0,2
453.531316,DEPARTURE,70,0,0,1
456.269379,ARRIVAL,72,-1,0,2
462.544305,ARRIVAL,73,-1,0,3
465.805944,ARRIVAL,74,-1,1,3
467.247369,DEPARTURE,73,2,0,3
467.484954,DEPARTURE,74,2,0,2
468.446999,DEPARTURE,72,0,0,1
470.261863,DEPARTURE,71,1,0,0
472.038102,ARRIVAL,75,-1,0,1
474.496857,ARRIVAL,76,-1,0,2
475.896448,ARRIVAL,77,-1,0,3
476.611886,DEPARTURE,77,2,0,2
