sim_time_min,event_type,patient_id,server_id,queue_len_after_event,busy_servers_after_event
308.370193,DEPARTURE,65,2,0,3
309.435845,DEPARTURE,66,2,0,2
311.83613,ARRIVAL,67,-1,0,3
312.626052,ARRIVAL,68,-1,1,3
313.021542,DEPARTURE,61,0,0,3
314.749412,ARRIVAL,69,-1,1,3
314.853047,DEPARTURE,67,2,0,3
316.180882,DEPARTURE,64,1,0,2
318.848739,ARRIVAL,70,-1,0,3
324.998366,DEPARTURE,68,0,0,2
326.675341,ARRIVAL,71,-1,0,3
326.966975,ARRIVAL,72,-1,1,3
332.131804,DEPARTURE,69,2,0,3
334.686506,DEPARTURE,71,0,0,2
335.77419,DEPARTURE,70,1,0,1
339.307994,ARRIVAL,73,-1,0,2
339.884659,DEPARTURE,73,0,0,1
340.892263,ARRIVAL,74,-1,0,2
341.588803,DEPARTURE,74,0,0,1
343.853415,ARRIVAL,75,-1,0,2
345.424536,DEPARTURE,75,0,0,1
349.062911,DEPARTURE,72,2,0,0
354.97417,ARRIVAL,76,-1,0,1
356.077897,DEPARTURE,76,0,0,0
357.035072,ARRIVAL,77,-1,0,1
362.639939,ARRIVAL,78,-1,0,2
363.876197,DEPARTURE,77,0,0,1
365.385024,ARRIVAL,79,-1,0,2
366.235104,DEPARTURE,79,0,0,1
367.109919,ARRIVAL,80,-1,0,2
369.756137,DEPARTURE,80,0,0,1
377.849257,ARRIVAL,81,-1,0,2
378.06569,ARRIVAL,82,-1,0,3
378.641165,DEPARTURE,81,0,0,2
379.23428,ARRIVAL,83,-1,0,3
379.845918,ARRIVAL,84,-1,1,3
381.12223,ARRIVAL,85,-1,2,3
381.317852,DEPARTURE,82,2,1,3
381.547145,DEPARTURE,84,2,0,3
382.892922,DEPARTURE,85,2,0,2
383.199278,DEPARTURE,78,1,0,1
384.377975,ARRIVAL,86,-1,0,2
387.964682,DEPARTURE,83,0,0,1
393.900311,ARRIVAL,87,-1,0,2
395.481637,DEPARTURE,86,1,0,1
399.116327,DEPARTURE,87,0,0,0
401.242366,ARRIVAL,88,-1,0,1
402.023053,DEPARTURE,88,0,0,0
403.72174,ARRIVAL,89,-1,0,1
412.306918,DEPARTURE,89,0,0,0
416.0537,ARRIVAL,90,-1,0,1
417.668893,DEPARTURE,90,0,0,0
419.041734,ARRIVAL,91,-1,0,1
422.501211,ARRIVAL,92,-1,0,2
425.704636,ARRIVAL,93,-1,0,3
436.201532,DEPARTURE,92,1,0,2
440.226928,ARRIVAL,94,-1,0,3
440.50213,DEPARTURE,91,0,0,2
447.154137,DEPARTURE,93,2,0,1
447.688769,ARRIVAL,95,-1,0,2
451.412994,DEPARTURE,95,0,0,1
453.7863,DEPARTURE,94,1,0,0
471.007377,ARRIVAL,96,-1,0,1
475.867567,DEPARTURE,96,0,0,0
476.839238,ARRIVAL,97,-1,0,1
476.847787,DEPARTURE,97,0,0,0
